case_tag,seed,status,run_dir
n20_mix1L1M1S_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_42
n20_mix1L1M1S_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_43
n20_mix1L1M1S_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_44
n20_mix1L1M1S_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_45
n20_mix1L1M1S_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_46
n20_mix1L1M1S_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_47
n20_mix1L1M1S_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_48
n20_mix1L1M1S_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49
n20_mix1L1M1S_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_50
n20_mix1L1M1S_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_51
n40_mix3L2M1S_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_42
n40_mix3L2M1S_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_43
n40_mix3L2M1S_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_44
n40_mix3L2M1S_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_45
n40_mix3L2M1S_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_46
n40_mix3L2M1S_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_47
n40_mix3L2M1S_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_48
n40_mix3L2M1S_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_49
n40_mix3L2M1S_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_50
n40_mix3L2M1S_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n40_mix3L2M1S/seed_51
n80_mix4L3M3S_seed42,42,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_42
n80_mix4L3M3S_seed43,43,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_43
n80_mix4L3M3S_seed44,44,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_44
n80_mix4L3M3S_seed45,45,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_45
n80_mix4L3M3S_seed46,46,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_46
n80_mix4L3M3S_seed47,47,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_47
n80_mix4L3M3S_seed48,48,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_48
n80_mix4L3M3S_seed49,49,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_49
n80_mix4L3M3S_seed50,50,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_50
n80_mix4L3M3S_seed51,51,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n80_mix4L3M3S/seed_51
